更新时间,#genre#
07-27 18:30:00_2025乒超联赛第二阶段_乒超第三日女团：山东vs上海,http://one.loiey.top:55488/txsport/100002:20255550/343321/1388741100.m3u8?txtoken=a55a7f100abf55853c8777c0a7378ed35c7ffc034cd50dc0c68b357c754167eee687dae45ebd25b14efd5e138a15ba61bca0995e27e2ea63cb32520fb6b852a4148957a5ee463f6e409e37b26cee89a221d6c3bbd47af15f21103ae7fc6f5d973b380fbda3a12d788889dc5677d58d14a6eb61a8c03342faba54fea79a
07-27 18:00:00_NBA经典赛_NBA历史精彩回顾：利拉德天王山一战封神狂砍55分,http://one.loiey.top:55488/txsport/100002:20255481/342999/1772694700.m3u8?txtoken=a5908528370ecb4625f0816f4ff44ae271621f9dbca238011491592b10cfcde3e0353b82dfb02fc26f18f77f79c3a9e8a93096de4e74d64233914d5a857a9a35648c16aa8a86b856dec2be42e9e4bc3cffec3ce8940b6e55498f1eda3b2f730c0e0fe04b73f35a11aa0595f51eb9b3480515994d4a1f61bf18b571e5e1
07-27 17:50_超三联赛 南昌赛区第1站 淘汰赛及决赛_超三联赛 南昌赛区第1站 淘汰赛及决赛_王冠证,http://one.loiey.top:55488/migu/956571564.m3u8?migutoken=b31cb2b99a173853e083b548a8ca91f9f0f886a6d54446523a0a45f59ab0ac877dbaa89f51f4b04e7f1f7534ba1e0ad1155d9577f7dc97a2dd63a5830fe32b0fcdaa4150f5241aec4fdc178c
07-27 17:00:00_赛车_FE电动方程式世界锦标赛伦敦站第二回合练习赛,http://one.loiey.top:55488/txsport/100002:20255196/341728/1387710800.m3u8?txtoken=4e972d207a8d3b4e95f834911eef612f3a800865eb0601949c6dac2d7289d077bc5025721eacdb93cfa8930e1132ed8091d8cbd66cd59f4c8ffb1daf8b5a11c08e7e6f6580c46842628908f83e5f4c57e9843b6bb1f46bfeed9243edbc8c00cc29c8e0329f8a0f1f1331b9bd61c0b101fb4af9264221877d5d7097daf9
07-27 17:00:00_LPL第三赛段组内赛_LPL第三赛段组内赛第九比赛日,http://one.loiey.top:55488/txsport/100002:20255536/342664/1772619700.m3u8?txtoken=f08e1bec75e3ab229d8cab87e4b5f7b826f4bd485ca7691de1a7a8e1566f55932cb83c9fdeca1d7754f4e57302a6727fc20052c4900664032e2549c1d21ef901686b168366cf0059d04ce727fe2ad0e3d78d5e9dfc1212303cf54c7e12ef71979b00cbb0c1f03d9e799661fea2d755cbf4a44b135c4ec1d02896d0d702
07-27 16:30_BLG vs FPX_BLG vs FPX_官方解说,http://one.loiey.top:55488/migu/956383768.m3u8?migutoken=ac0e31ec72a3dc0dd866d5239cce6d75933fb0cfabcba837d0ff2599f29b962e3e200cd5d14067b88af7e1e54b2f6fe01147743a01c6a14b05875a3b1c53d369987d9c60b41b9208c7da9a14
07-27 16:00:00_NBA经典赛_NBA历史精彩回顾：湖人拿下总冠军詹姆斯生涯第四冠,http://one.loiey.top:55488/txsport/100002:20255480/342998/1388026900.m3u8?txtoken=48a29c704d5d093596947983ebd4ed1f036877264de496946eac22342a00a6004134e3a3aeca0359e16964e820e844aacbbc2195776c99155f10678ca3d51ff11674c0ad75cbdfcb642fb6edb0cb1dcee88ec07e8e8b23e19d11df82242cca03ccddb250d6c396f176eb8e1b420b7c1a10dee125e70eef76235270edc6
07-27 15:50_中乙联赛_赣州瑞狮vs武汉三镇B队_解说,http://one.loiey.top:55488/migu/956580292.m3u8?migutoken=c87f8a8e9dfa3e3110e3bec136b5e65bcdf06ad6ccaebc420cc3d0c6ef466001e79ab86a0567409fae4f09f1a5567b82266500e34c3799f493e5e065455216c8f03c27f3ca4323d946451eb8
07-27 15:50_中乙联赛_贵州筑城竞技vs深圳二零二八_解说,http://one.loiey.top:55488/migu/956580168.m3u8?migutoken=f9b0fc5f1a5a0649d8444b48bbffbcafa3cfa9efdf02924745b132e5f7b02dc40e2be105ec8c3b329a18c6400de5a378f07be4c57297245ed78bc04446ee6e10881202c31b06f7efb28535ba
07-27 15:50_中乙联赛_泉州亚新vs广西蓝航_解说,http://one.loiey.top:55488/migu/956580324.m3u8?migutoken=5173849124611ec23beae4975d5ebc193c46ffd7fea78bfef12b909a628eaa942a56640fb73fa7a8ca8efcd9b2b177a0263442db792c7112a6b6a2b62df828478107c311533787a7bf650fe9
07-27 15:50_中乙联赛_成都蓉城B队vs温州俱乐部中胤_解说,http://one.loiey.top:55488/migu/956580267.m3u8?migutoken=8c2066a938406a1fdd558f05e6f5ede4bf5d933f43bc002e3f19ab4d9557968985a1b3d12fc85f0bac0c8977754d84dfe30884f7ce76b273a318af5629260f191129c80b475bd51984b1eee2
07-27 15:50_中乙联赛_广西恒宸vs广州蒲公英德桦绿建_解说,http://one.loiey.top:55488/migu/956580136.m3u8?migutoken=4625810a8e2b89372aa0a0b0f5d12e1be3e2a032a72dfb2b22aec444ccce4cd850acda3bd334a8735c4c7521a807705285533c60e44e4264e7ed5fef3eb5641742780080928fee0a4556c6b3
07-27 15:50_中乙联赛_广东铭途vs昆明城星_解说,http://one.loiey.top:55488/migu/956580224.m3u8?migutoken=f7f9b1691616fa2714f0944e906b7b3679f2cbd918c69465e77cb5722e46e79105b5f998872602979a07e504fe2e12813ee4b61dd522a22135ae806ddc28fe044a611914b8755bc4441983ba
07-27 14:00:00_NBA经典赛_NBA历史精彩回顾：杜兰特狂砍49分率队完成惊天逆转,http://one.loiey.top:55488/txsport/100002:20255479/342997/1772694600.m3u8?txtoken=4ac6ec8ff6424ec87739ac79a3435a08a80c88ecee966d0f940669d82eaaf7a72dc508cc7ba5885a76613a1ac0d5fda4a64d983ddcc13961ce5c409abae13a880e34adaf9d0bcaffa5e4571dca349e760a9a4695f90041b408812c07c60f06530f832366f8732a7f82a0accec281c378e5de8f54030c382dbfc1a145af
07-27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_4号桌,http://one.loiey.top:55488/migu/956554075.m3u8?migutoken=eaec4aedacfa19644436dac16656fbe3407d4f85ab3d2eb5cbbfa1192f7da97ea64d2389c090aa119e69f8a585fe6e9453bda6e621738571f4db0581a8eb1cef0996bd6b3b0892ee3f1bc5b7
07-27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_3号桌,http://one.loiey.top:55488/migu/956554063.m3u8?migutoken=a8f698e0207d387d7b3755cf57cb7b05731449037e44075902400c0a724df22e57aacacb0ba9f16f4f1ffc0ce443aa9c33007681395bec814be25e56a0250d8287a78450d90f7c80a2c4c605
07-27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_2号桌,http://one.loiey.top:55488/migu/956554050.m3u8?migutoken=817c426a8e90780d88cd889385b78f980230dc9b9f7b14505e5372c6e5371bd1e213e257e8d05d53258829d66bc75610a24d10ec292adc6bd91201a5ff23b370c13b8d773018cda9a3c3e5a3
07-27 10:30_王楚钦领衔山东魏桥迎战安徽中程单招基地_王楚钦领衔山东魏桥迎战安徽中程单招基地_1号桌,http://one.loiey.top:55488/migu/956554043.m3u8?migutoken=cd38f2698ea44f506d38348938b2c667cd9dfd9bca4033e73e05829819b1bfb5ace1dc1b47100d5faba10953d807149fd07a08e555068b5083e21e6c523a66aec461569b55a6fe051fda3fc1
07-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：黄石vs先锋乒羽,http://one.loiey.top:55488/txsport/100002:20255546/343317/1773424000.m3u8?txtoken=f68447c4328c5de9565e0c06a65c89ae684b66e1adb3af2508d3a9b2f815f71f86592d9dbf0792657c3b6bb35833a4482952384adb5c0d96904c11a42ef07c47d8ccaf1354cae8d1dd77a1c5cc059c7ba3a5deaa7d2dcacacfbfcc9cf867b13787642ae2e90cbc6e30d05908d80bcc215654ac8d6130cb0a3a0f89a58c
07-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：汕头vs上海,http://one.loiey.top:55488/txsport/100002:20255543/343314/1773423500.m3u8?txtoken=6db29ecba0832c2f8c089d235721101676ce29fb8b66999934c9d4e9ee0f3a0d0eff01d49f3ce50d8eb9e107dbc43710b673cd71bce352ecf3b14f0c0b8d6184e7a3bf1a9f8ab87e481a71061ebf674f185e8eefe2d49b5a6dc07cb61e105e50c0abd0dff9b8eb81d6cea5488fe8bd0cc1c00a05184056250ea809ae0d
07-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：山东vs安徽,http://one.loiey.top:55488/txsport/100002:20255544/343315/1773423600.m3u8?txtoken=bd4f8c20db8da13879b0f1360a0be163150a65af913f22836c058a30ae5fbda381d1177ebff84538b8d91f72eb80063966e0dbe7853c1a88032169ed21d41dd8cc04e8a8eecdb740b6c931a968f71e6b7d5d2c2d33fca45a4e5697d3eeffc8c49116c6190cb1177b6b4ee13d3bbd3853e0facd86a8036fe1d6850c44a3
07-27 10:30:00_2025乒超联赛第二阶段_乒超第三日女团：华东理工大学vs成都,http://one.loiey.top:55488/txsport/100002:20255545/343316/1773423900.m3u8?txtoken=daf5a9a673dac77e5c01ddb6bfbcaa7cf174afc7aa893ce1c655bbad96a092cd1c51aab27a09fe2bca7ee9ad6114bfe915bed1c8a277407cd04ef7b045d667cef45ff7ce540c08fb70d742d3c86082c103986eda1124093e0c60d783a7f2dd2bbcc49db0f546e902926ac89149014abaa01f57eae55e826bbe707fb58b
07-27 09:00_“林丹杯”羽毛球公开赛（西安站）半决赛、季军赛、决赛_“林丹杯”羽毛球公开赛（西安站）半决赛、季军赛、决赛_西安站,http://one.loiey.top:55488/migu/956581767.m3u8?migutoken=dd8aeff9f18dbd73f776382ec41841e31d7df1ed3c75ef55bb0f63d2cf3122cc2874944f5df02172a307c477bbb424dc820e63d391e6e2dcb5f3706116ec5b580e77dc76a98fc149e21b995b
07-27 08:50_2025年西藏林芝南迦巴瓦高原体育大会——林芝半程马拉松_2025年西藏林芝南迦巴瓦高原体育大会——林芝半程马拉松_清流播出,http://one.loiey.top:55488/migu/956562862.m3u8?migutoken=0d97db4c4f71bddc8f2b592ffccc6fad6d7543769dbee69e7a32dd9a549a48d69cb625e67e126b41cc9d3770e77c2ebd1d170c1afe8081ad1efea6f60649ce30e0a6661f285f6feba647c13b
07-27 08:20_贵州村超20强决赛day3_贵州村超20强决赛day3_分省,http://one.loiey.top:55488/migu/956503683.m3u8?migutoken=2716b651d02ed14d5f24322d955c2ac02f8eea9c72729d8820cc8d1d4da094841e266531585f2b713352e7121e476e4610289fe257e9a9e52c1406a3df0c2de060cc7b85d754643e7d8febc9
07-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定_赛场原声,http://one.loiey.top:55488/txsport/100308:22821/343012/1388030100.m3u8?txtoken=861363e95b11068793f1eb1c801a027696aed7adc588f9f3199699283f31b4d4c9431e693ab899f1745e6a540a7e2b764f0fe2c9eb1e2f0f02d7c3938395a23a4593c18f031fc080e528c41f99ed909d98922e57bf10c3e887f90c91fa9685a0703830645a53736779ed7c362301901b0b62580605e72117d1e32c1c45
07-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定_英文解说,http://one.loiey.top:55488/txsport/100308:22821/343012/1388709900.m3u8?txtoken=7e6b1c61e4a1c2ba33e96eab1766777eebf483a56ed72b6822cb690677c53308c60def56fb441ab64a3897ab05acf11380e5503fa57019225dcc3fe372fb09789d687d40d5b69cfe5df2fda86413e64b6cd07f0db8b9ca65db6e5bdfea590dac8284b2bd69d3b726599e94f1b113197b8fa051a8e5fce2f225c4e69a0c
07-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定,http://one.loiey.top:55488/txsport/100308:22821/343012/1772697800.m3u8?txtoken=be94958b732c81f74d341ca86d234e0eca6f69936ea9e992fcf9054b67c4da1f955b11b8794c2b897c7c0703dcc7c7dcdfdde58ed49b3fef50e1b28596985f410e72e2d45d5eecf303dd559e491f67fddae38184af2a5ea0982fe33bf8555911c73029318212de2d07056f091c9f5e4c7d18c1a71b633be7258035bfe7
07-27 07:30:00_WNBA常规赛_华盛顿神秘人 vs 西雅图风暴,http://one.loiey.top:55488/txsport/100020:11022500160/342606/1772603800.m3u8?txtoken=b4d68255c27400ac88f2c24573f1dc3ccc89eddefb514e957855aaf93da1ee40b0a9a4f94e5035501fc6d42be54e68423002e0e7008d8d7705a362121cc67f4aa29540f5c23110afa632b4d11fa86f0c40de7bb9e58c924d6972b4e6c066f5282c4ca28c686b92b95e9292e1e366556b67647fc56a717d5e980b52aef0
07-27 07:20_2025润泰翡翠城中国田径协会10公里精英赛_2025润泰翡翠城中国田径协会10公里精英赛_清流播出,http://one.loiey.top:55488/migu/956562832.m3u8?migutoken=a170a2dd479bebf1b38ae1944bfff2fd8b5e6fcefc526c9cd919049764269d084a7536055b9f044e34f12d4018d5b3e68047b1604cf137afe2774ed267328bd8783219212b26ed44557958d3
07-27 07:00:00_WNBA常规赛_纽约自由人 vs 洛杉矶火花_英文原声,http://one.loiey.top:55488/txsport/100020:11022500159/342605/1772602400.m3u8?txtoken=e4f7c33843c627c632d0880f4fc17a1a37ae91e900a6c1485d1959a2d0ff05fa5e0695a4b2a40fc0d94a4fbff4bec2c6f95d8cd774ebad1ae459c86d722a819b3cd76dee5b14673294331c966358fb8d83fe4d18eb2b6a2d657c7452e53596414956df31547820059db2314848b2dff76ef66a1b212a84f220bc03beab
07-27 07:00:00_WNBA常规赛_纽约自由人 vs 洛杉矶火花_石楷文,http://one.loiey.top:55488/txsport/100020:11022500159/342605/1772602300.m3u8?txtoken=5ac8cf5e5579c7a6d7d84e9b1bf6fd988507e0cfe8e24655c7299f77ed1874cb4bd83774ed1348c5278b653d5088b024bbdaed4d39ca29508a0e6373722bc5537deb0a2c0d2a739acb7488f51df373e9e999809b6a504eaa900da75670b15adea68260d7e3632c4a26406cc66f0262fecaf70fd155e7f9253509ff3c19
07-27 06:50_英超夏季联赛_曼联vs西汉姆联_刘焕 贺宇,http://one.loiey.top:55488/migu/956621754.m3u8?migutoken=69b93e06ff121f11e6d8ce43e0572166f5567af90937bc0bb3a8eaea54b9e38a899c1532fdca48e9834e93d27c2ea6c72bc467a342f569d488e5231d901c27941040412c97ccc5b876394d6f
07-27 05:30:00_女篮非洲杯B组小组赛_南苏丹共和国 vs 马里,http://one.loiey.top:55488/txsport/160009:127703/341778/1772407300.m3u8?txtoken=4f406b3713f68dacf1fa5f5f8be74b5d8de7059f1def53be98051bdcda0ba52f563bb2b45a90c8c0aabf6cea8e9a3b65a6f83b82e1d8054982c573830adf985ea3c0bd674130927fcffde3dc3866e0c39df5d45b56054b078505b038f55bf5c9d9b42232004a93590e79423e07e05c0bf55394e45e21c5430718ed21d9
07-27 04:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_李宁,http://one.loiey.top:55488/migu/956346202.m3u8?migutoken=0ff80ec191014d201060557a8e384678b0af750a4dae55988c25185d234b4d659a213670e7a480d21ccb3d7e8f6d32108636b971b90a26c36762b62e6a2004da05b7feff24c7b89703238745
07-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_邱超,http://one.loiey.top:55488/txsport/100308:22822/343011/1388029700.m3u8?txtoken=8b730a32590c73e44352773aa525fd195a22e6ca129f7aadb93e87edb37f5c3d30e22d3cc47e4c1fc52c595f3160361d97ef45f4a6204025f71d0890b19859295f8ad0c3a2fad9d354b8492397b8940682298b7bcaa702ebda38be804de36ee1a29c03d7385b406a514090fcd8d61f8c24d8496b64e7dc9cd89f3d5210
07-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_赛场原声,http://one.loiey.top:55488/txsport/100308:22822/343011/1388029800.m3u8?txtoken=18d45459f7d9de1d9f209601f9cd9808f74497e6e29179c09d0823925be00239ad85b58cf3ddc2379a74bf981c7b1f657f65fb14782d9736ba74c5303ab575b109e8e5d452543e0eb87020e0cb60dcd0c2bdf9ec5ae2519e93017a60f39903d43de329ed49d13a125148466891966247f0167845786c914fa288ab3a74
07-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_英文解说,http://one.loiey.top:55488/txsport/100308:22822/343011/1773396000.m3u8?txtoken=b63c3862b033e65515ee1c00f5bd3772f9facdc8c1f5f234982db659f1a590620ac72f21358203b8ea3ad3ba9d9a8e99ed3bedd7045a2d80265279293b5b87ad9ec87e8380721b502c5aa1640338a8f316d8aa5fef63bcb7e0182187526fd22d0504c9f350ef3b5e53801f8610212197db10d939bb1f3e2bc7cd2660f0
07-27 03:50_英超夏季联赛_埃弗顿vs伯恩茅斯_孙雨轩,http://one.loiey.top:55488/migu/956621671.m3u8?migutoken=15679c1517fcd3d65689a4a0baf22b44248bc806908fb9edb7299c27bdfa5c20f0a17b21ad29c2bee616524b5bd6b022bb0f04e7e4cbadf087af28f30bfc6c0000d24a12ca3b9431a1d5cb88
07-27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_英文原声,http://one.loiey.top:55488/migu/956346127.m3u8?migutoken=7198ee58f8a3495946cfec17295ea747ea4694f54ec6d5f179c2aa326d8125164768ea193ab95a3a324059790f422a48e98d4a4f440a908c1a8cb0f31af38236689efbd9c40063020e18ce48
07-27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_清流,http://one.loiey.top:55488/migu/956346124.m3u8?migutoken=6d11ac18310d495cf73d6cc5cf735076f6f2d40ae46891c86f8c44c0c43641f82de55ffb37aca1b273171361c702cb001e56ec488c58121be66615a614fe8624c5c27b9214f7d30cdaf042dd
07-27 02:30_莱巴金娜、拉杜卡努冲决赛_莱巴金娜、拉杜卡努冲决赛_乔迁,http://one.loiey.top:55488/migu/956346156.m3u8?migutoken=6b3ca21b3334e65003f3118cce53609070ff2a3f77189b47dd9617f1d0b7f01853f6baf73ef5e73294c6ef1aa44100d3bd9845bd85c219bbed1624960584a70024597bfea7d136e0d38d8fa5
07-27 02:30:00_女篮非洲杯A组小组赛_埃及 vs 科特迪瓦,http://one.loiey.top:55488/txsport/160009:127700/341777/1387724500.m3u8?txtoken=3718a79658bb61bccfac4bfee2e87c5550fb9fa0d37b42fd87022edb405155e19431808d488d906e09d984d39de13cb872f618e35e0b5a9d12dfc68a762bc8c3821f13ca9e264d94392a45cd7e3a411dc43b01c76346be59745d2b97e3d399f19c59e2d2c99387be9b6473b24113798966e3dd7b1ed62783e5acf97bf8
07-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_邱超,http://one.loiey.top:55488/txsport/100308:22823/343010/1772697400.m3u8?txtoken=141cc17e428b697e3232f4114e096554206ef39135b08bbadec968304cf95a7e92b3fd817ea6bc05eeaff090465d98ab3f1077044e28d49c548ad6d96ee241e91c25cfd942bde3a81fd98fcf58f34fde8d6799e28cd0be2f0b18b49463ddc92856a43c7bdfacabcd850537235e64448174161f80287ad5d6643bbe8bc9
07-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_赛场原声,http://one.loiey.top:55488/txsport/100308:22823/343010/1772697500.m3u8?txtoken=43004b4b2b86a8d4155945caef53d2d54703f4153d170093a4290a951954e9b03540efb8f8ce1b8281d13b6cd711727a7839f8c021b0867b85b56ded9b26541dc1b7cc427ec746fdcec19be11e2c89b5c43d048a5c7bea93a01691e55ae38e61a1769bc646f46695f57e0b66c65212eb2e29368585da9229d7ad17de05
07-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_英文解说,http://one.loiey.top:55488/txsport/100308:22823/343010/1388709800.m3u8?txtoken=1c07b2e477104a58e6cc217c17ee875df5bd65bd390decd9362341dd48c421f80b0d26e314f334811e2aa545b00c59a28ce1a8555c7140c7976486c252d8e291009dbc61f6aa355011b739207d11cbbf9294e508278f77e32b269c81f72ee09cbabdcef260c0c15bebf2e2d665b3b00b22e6bf2393dce667383643c5d5
07-27 00:00:00_赛车_FE电动方程式世界锦标赛伦敦站第一回合正赛,http://one.loiey.top:55488/txsport/100002:20255195/341727/1387710100.m3u8?txtoken=ab4888c41dcd9c6d6cb23dff5fde3e100dc65a8ded72d9dddd77fcbb63f3affe15ecb74d3e7e94f02d5c4048781c5ff3bbaea33c6c3d8259c76c30b5910c1bb4339e2f3a57eaa20329a97ea485c048cdb329e35da8909febfadfbf4c0cde1ef5819f4f7cf0a75f60ebf556d0a1728fbc2609c5dd4dd928143c252276c0
07-26 23:55_UFC阿布扎比站：惠特克VS里德尔_UFC阿布扎比站：惠特克VS里德尔_英文原声,http://one.loiey.top:55488/migu/956563242.m3u8?migutoken=3c9e4eb980b79c88eda8d7ea81162d28bb3bde6dc69f1dc7d4a0df4fb7e135b7632378cf2212715890b565fbf61e07d64d00cfe9fd5fa5b5498354f21b403e8440ceaa6c0afc9ae3de8ab30d
07-26 22:30:00_女篮非洲杯D组小组赛_卢旺达 vs 尼日利亚,http://one.loiey.top:55488/txsport/160009:127709/341776/1387724200.m3u8?txtoken=02d79b1d2e66721aae050468bb52823aadf48871a7cd8d7a2877bd6ab3ff9dd34144582acbd67c278cb8269b4063be157fc5299c3305fa22d957e67de0685a7d3d2b95d313c3b90ea6e89a93af9bc5f69980f2c057017bc408d53dda572a5e1ae1744a210da0132d8cb53372c9c863169eafe8d3e67fcecd83d36558f2
07-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_车载镜头,http://one.loiey.top:55488/txsport/100360:2100186/341722/1387709700.m3u8?txtoken=7aa87d8d02aeb9947f243d9adabea54ce18ba46643e32bd9b2a0eb0d8a4bf588af6edde41e3e7ae0770c41ca654623271c0905e87659e6aba4b039aeb81228577785ff688123a96a635469f16465068b1630d5a4af3efbf7666ca878837933b9edb47bfd95ffc514e8ce6152cd19a30376d20e984657e8d7356dd4b7d4
07-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_车手位置,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394500.m3u8?txtoken=9c8bc8419482fd02e01a5f96747270d030df17a22487575074d7287f600cc44a8b90f98b439f99378b67daca3c29e20da5d189e4388c082aa8fb8bdbeada9cb1f3356e478c0b2b48afc50fa7529d576362b2a1c38f6b2a6e4598940ed096a9f31ab26801782f276da658f3c755dbca71011c4bd662397273a1535294e8
07-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_维修区,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394600.m3u8?txtoken=5720c35b99a36397c0f3e76e57f9261bc6d803e8c62ad06852100ee9e49e2b718d68e8ba9265802c37a93a4f3949c33c37a049632b89f3ba1b0993abb51bbe5e460555493f54616626f3ac251648047fab93400a2df659a050dc43c895fd0812ecd6373c65ecb4a80ef67e920547271e05e7e1f8d7577732ef69a20c54
07-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_圈速信息,http://one.loiey.top:55488/txsport/100360:2100186/341722/1387709800.m3u8?txtoken=932132d593b83a44f05730380590302bf04ff904c510514378198317aa1d96d814a85f8beb69c3fb37c5437a2ccdfd989350e86effa4a032bcbb4a5a2d909a1938d30a6f12966ebb4bd87607577c78f2f2aa771bfebdf1584ae31696042499902e21fc61182cd40de49117bef3d8e25e96879cfc998a24c8d87d6a7c78
07-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_刘耀,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394400.m3u8?txtoken=825b674bbcc9177ddcbc321a85a37f76bae340d34691f6cdce35a0881195269ec9f2e2568650335cca2de5c041485bf0ec7f13a3d7e8f2a1be995e750984e02e2b5100762b9ef138dc4b7190ebedabb6644d68a13b349dda441e76bcf39c90c685e0513fbe849a08810a785819f7bf9a9fc851b396a33570898a59bf32
07-26 21:00_美和/沙月女双冲决赛 雨果情侣组合争冠_美和/沙月女双冲决赛 雨果情侣组合争冠_英文解说,http://one.loiey.top:55488/migu/956348116.m3u8?migutoken=1b3ac74923375dbccef6fee09005ebce654d7217caee8954cf4dda3b4f6f5d5852d75a1409ce47b1ec37cb9d41367b7e97630fca926e681aa3c9809357dcd56936418974967006984704f699
07-26 21:00_美和/沙月女双冲决赛 雨果情侣组合争冠_美和/沙月女双冲决赛 雨果情侣组合争冠_1号桌,http://one.loiey.top:55488/migu/956348066.m3u8?migutoken=c18a0b728fbd21b4690bf96300e789d5004595685fd877b780189b23a04c6a995dce78e64dc6b038e2546aa2d06c72917a21cfceb77ea1cbe2b82f0154b81332fc00da5d4ee0165f5c7369a6
07-26 21:00_JDG vs WE_JDG vs WE_官方解说,http://one.loiey.top:55488/migu/956383384.m3u8?migutoken=5f8ddcb1b5b441f3cb21223e063af59e1f8e2c6069ad5c5b961cf488814b79aba4bda6b1a34c183e66154f61dabec671deb8f46b39321d3cc081fb9dbccf32a737aea5c12e10a7ff65a47035
07-26 20:05:00_WTA250布拉格站决赛_布兹科娃 vs 诺斯科娃_赛场原声,http://one.loiey.top:55488/txsport/100308:22729/343016/1772697200.m3u8?txtoken=50dbd99e481783b3da914a7bef4b1d5e5ec2dfbbe9979f0fefaa428eac45e81027800d0f9a571c8c5f6a2a928719a9a1098c6ef84d52d833c26a6aa3bd3b40156f7a90d41a02f2f1beee468c61e17c6d32e9df5383a937d099f0e9314a7fde4b0833714ce0b50ac5dd9571ef5fcbd1d387278664989134e1af7f9d9fb7
07-26 20:05:00_WTA250布拉格站决赛_布兹科娃 vs 诺斯科娃,http://one.loiey.top:55488/txsport/100308:22729/343016/1388029500.m3u8?txtoken=e368cb97fddf5755159aefe15fe54bff997cef586a9a214e6d2f5acc2499c0e02fd878653bf04b4c7ab817c8f997633511c42fbbc9d5bf9065324fbca306a241eb1adf6f48aaddb340fbf2847330e605623e22f306454d15264c9e586d776f6c9bacc8bdf8f0d413474cd1b1c6c8c90e2519cb3538cc051e4388f8cb92
07-26 20:00_布兹科娃2-1诺斯科娃逆转夺冠_布兹科娃2-1诺斯科娃逆转夺冠_英文原声,http://one.loiey.top:55488/migu/956345237.m3u8?migutoken=6a660fb90939be6c90ca9649c11300fac6da4d40ea04328f652bdd9f206db6b33ab3f266cd90bf771ed55566777d22340e4890a5da30e3d165c601a55fd3a289b786dd4fd078b0a23a8f60bf
07-26 20:00:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 苏科雄狮 VS 黑龙江男青,http://one.loiey.top:55488/txsport/100002:20255454/342925/1772686200.m3u8?txtoken=32e8721127da2b5ea0e44ea0d3075f56db2efc355c0e07c6210296d9e749c3ff251c019f6a901701c3f6249600abffd34f117997b47852bc45113cca6ce8eb09de87668a4febbc14bdf3f204410ce4e13f96b66411ca0b6acea8aecc32c59af2d9c210fb978b2651f93cd82515189ea4dee98579dbb2d450d13f55ec4b
07-26 19:50_福建闽港澳台“同心杯”篮球邀请赛_福建浔兴俱乐部vs台湾桃园台啤永丰云豹_解说,http://one.loiey.top:55488/migu/956620476.m3u8?migutoken=07e944604bcc8a679816e5a84c6c580cd2d97913c09e47907b7e2e1543196daa2a09141845ce4bef82f8ec4dc48ff7a0e26be5439c945919d4d72bc22d74d7991e8008744d308089ce665c3d
07-26 19:45_中超联赛_云南玉昆 vs 深圳新鹏城_赛场原声,http://one.loiey.top:55488/migu/956561584.m3u8?migutoken=d041a94c45ddb019bec78d0d583ed8ef033a44537322a387c5e28b4b3e87f4f52a2ad29ab4b3c437d9c7eacb3b23a3c6534ff75d9f898c88ebe4e8e13eb2883b6ee8aa8cf22ca9c4ee7cad64
07-26 19:45_中超联赛_云南玉昆 vs 深圳新鹏城_张天翼 于海,http://one.loiey.top:55488/migu/956561620.m3u8?migutoken=2d775fddd30f9f565814db9053848bb205a1a7e5d3080edda0eb4b0751c9a60b7440cab3f2ac291445a36b983f8c64aa02dc2ae7a1bcaa5510c1fbfde9890d2391576e4948c07e57ba5f2bd6
